Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
69,2018/06/15,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806150.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),W,7,3,,39-30,1,up 2.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Lugo (https://www.baseball-reference.com/players/l/lugose01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:20,N,"32,170",1.45,++,
70,2018/06/16,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806160.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),L,1,5,,39-31,1,up 1.5,Matz (https://www.baseball-reference.com/players/m/matzst01.shtml),Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),,2:56,N,"31,824",1.44,-,
71,2018/06/17,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806170.shtml),ARI,,NYM (https://www.baseball-reference.com/teams/NYM/2018.shtml),L,3,5,,39-32,1,up 1.5,Familia (https://www.baseball-reference.com/players/f/familje01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),Gsellman (https://www.baseball-reference.com/players/g/gsellro01.shtml),3:27,D,"47,907",1.46,--,
72,2018/06/18,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201806180.shtml),ARI,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),W,7,4,,40-32,1,up 2.0,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Barria (https://www.baseball-reference.com/players/b/barrija01.shtml),Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),3:21,N,"33,809",1.48,+,
73,2018/06/19,boxscore (https://www.baseball-reference.com/boxes/ANA/ANA201806190.shtml),ARI,@,LAA (https://www.baseball-reference.com/teams/LAA/2018.shtml),L,4,5,,40-33,1,up 1.5,Álvarez (https://www.baseball-reference.com/players/a/alvarjo02.shtml),Koch (https://www.baseball-reference.com/players/k/kochma01.shtml),Parker (https://www.baseball-reference.com/players/p/parkebl01.shtml),3:11,N,"33,088",1.45,-,
74,2018/06/21,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806210.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,9,3,,41-33,1,up 2.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Kuhl (https://www.baseball-reference.com/players/k/kuhlch01.shtml),,3:11,N,"20,554",1.49,+,
75,2018/06/22,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806220.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,2,1,13,42-33,1,up 2.5,Chafin (https://www.baseball-reference.com/players/c/chafian01.shtml),Glasnow (https://www.baseball-reference.com/players/g/glasnty01.shtml),McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),3:51,N,"24,843",1.51,++,
76,2018/06/23,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806230.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,7,2,,43-33,1,up 2.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Musgrove (https://www.baseball-reference.com/players/m/musgrjo01.shtml),,2:52,D,"21,121",1.5,+++,
77,2018/06/24,boxscore (https://www.baseball-reference.com/boxes/PIT/PIT201806240.shtml),ARI,@,PIT (https://www.baseball-reference.com/teams/PIT/2018.shtml),W,3,0,,44-33,1,up 2.5,Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Williams (https://www.baseball-reference.com/players/w/willitr01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:32,D,"19,207",1.52,++++,
78,2018/06/25,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201806250.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),L,5,9,,44-34,1,up 1.5,Straily (https://www.baseball-reference.com/players/s/straida01.shtml),Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),,3:14,N,"6,105",1.49,-,
79,2018/06/26,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201806260.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),W,5,3,,45-34,1,up 2.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Hernández (https://www.baseball-reference.com/players/h/hernael01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:24,N,"6,159",1.48,+,
80,2018/06/27,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201806270.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),W,2,1,,46-34,1,up 2.5,Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Chen (https://www.baseball-reference.com/players/c/chenwe02.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:52,N,"6,382",1.47,++,
81,2018/06/28,boxscore (https://www.baseball-reference.com/boxes/MIA/MIA201806280.shtml),ARI,@,MIA (https://www.baseball-reference.com/teams/MIA/2018.shtml),W,4,0,,47-34,1,up 3.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Richards (https://www.baseball-reference.com/players/r/richatr01.shtml),,3:06,D,"12,715",1.48,+++,
82,2018/06/29,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806290.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,1,2,,47-35,1,up 3.5,Suárez (https://www.baseball-reference.com/players/s/suarean01.shtml),Chafin (https://www.baseball-reference.com/players/c/chafian01.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),2:49,N,"30,981",1.75,-,
83,2018/06/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201806300.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,0,7,,47-36,1,up 3.5,Rodríguez (https://www.baseball-reference.com/players/r/rodride01.shtml),Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),,2:51,N,"38,117",1.8,--,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
84,2018/07/01,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807010.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,6,9,,47-37,1,up 2.5,Gearrin (https://www.baseball-reference.com/players/g/gearrco01.shtml),Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),3:45,D,"29,721",1.94,---,
85,2018/07/02,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807020.shtml),ARI,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,3,6,,47-38,1,up 1.5,Martínez (https://www.baseball-reference.com/players/m/martica04.shtml),Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),Norris (https://www.baseball-reference.com/players/n/norribu01.shtml),2:52,N,"20,334",1.58,----,
86,2018/07/03,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807030.shtml),ARI,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),W,4,2,,48-38,1,up 1.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Flaherty (https://www.baseball-reference.com/players/f/flaheja01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:51,N,"25,843",1.63,+,
87,2018/07/04,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807040.shtml),ARI,,STL (https://www.baseball-reference.com/teams/STL/2018.shtml),L,4,8,,48-39,1,up 0.5,Mikolas (https://www.baseball-reference.com/players/m/mikolmi01.shtml),Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),,3:47,N,"44,072",1.64,-,
88,2018/07/05,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807050.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,3,6,,48-40,1,Tied,Lauer (https://www.baseball-reference.com/players/l/lauerer01.shtml),Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),3:15,N,"17,982",1.56,--,
89,2018/07/06,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807060.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,3,1,,49-40,1,up 1.0,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:52,N,"25,128",1.59,+,
90,2018/07/07,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807070.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,20,5,,50-40,1,up 1.0,Delgado (https://www.baseball-reference.com/players/d/delgara01.shtml),Ross (https://www.baseball-reference.com/players/r/rossty01.shtml),,3:23,N,"27,091",1.6,++,
91,2018/07/08,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807080.shtml),ARI,,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),L,3,4,16,50-41,1,up 1.0,Hand (https://www.baseball-reference.com/players/h/handbr01.shtml),Mathis (https://www.baseball-reference.com/players/m/mathije01.shtml),,5:31,D,"24,869",1.62,-,
92,2018/07/10,boxscore (https://www.baseball-reference.com/boxes/COL/COL201807100.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,5,3,,51-41,1,up 1.5,Delgado (https://www.baseball-reference.com/players/d/delgara01.shtml),McGee (https://www.baseball-reference.com/players/m/mcgeeja01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:40,N,"43,405",1.89,+,
93,2018/07/11,boxscore (https://www.baseball-reference.com/boxes/COL/COL201807110.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,2,19,,51-42,1,up 0.5,Márquez (https://www.baseball-reference.com/players/m/marquge01.shtml),Miller (https://www.baseball-reference.com/players/m/millesh01.shtml),,3:05,N,"33,919",1.94,-,
94,2018/07/12,boxscore (https://www.baseball-reference.com/boxes/COL/COL201807120.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,1,5,,51-43,2,0.5,Oberg (https://www.baseball-reference.com/players/o/obergsc01.shtml),Ray (https://www.baseball-reference.com/players/r/rayro02.shtml),,3:17,D,"41,410",1.9,--,
95,2018/07/13,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807130.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,2,1,,52-43,2,0.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Freeman (https://www.baseball-reference.com/players/f/freemsa01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:05,N,"42,130",1.67,+,
96,2018/07/14,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807140.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),W,3,0,,53-43,1,up 0.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Newcomb (https://www.baseball-reference.com/players/n/newcose01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:53,D,"40,862",1.69,++,
97,2018/07/15,boxscore (https://www.baseball-reference.com/boxes/ATL/ATL201807150.shtml),ARI,@,ATL (https://www.baseball-reference.com/teams/ATL/2018.shtml),L,1,5,,53-44,2,0.5,Teheran (https://www.baseball-reference.com/players/t/teherju01.shtml),Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),,2:42,D,"27,323",1.75,-,
98,2018/07/20,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807200.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,10,11,,53-45,2,1.5,Oberg (https://www.baseball-reference.com/players/o/obergsc01.shtml),Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),Ottavino (https://www.baseball-reference.com/players/o/ottavad01.shtml),4:02,N,"29,546",1.99,--,
99,2018/07/21,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807210.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),L,5,6,,53-46,3,1.5,Oberg (https://www.baseball-reference.com/players/o/obergsc01.shtml),Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),Davis (https://www.baseball-reference.com/players/d/daviswa01.shtml),3:21,N,"43,340",1.9,---,
100,2018/07/22,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807220.shtml),ARI,,COL (https://www.baseball-reference.com/teams/COL/2018.shtml),W,6,1,,54-46,2,1.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Senzatela (https://www.baseball-reference.com/players/s/senzaan01.shtml),,2:45,D,"32,985",1.86,+,
101,2018/07/23,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807230.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,7,1,,55-46,2,1.5,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Farrell (https://www.baseball-reference.com/players/f/farrelu01.shtml),,2:55,N,"40,859",1.67,++,
102,2018/07/24,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807240.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),W,5,1,,56-46,2,0.5,Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Hendricks (https://www.baseball-reference.com/players/h/hendrky01.shtml),,3:13,N,"40,869",1.73,+++,
103,2018/07/25,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807250.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L,1,2,,56-47,2,0.5,Edwards (https://www.baseball-reference.com/players/e/edwarca01.shtml),McFarland (https://www.baseball-reference.com/players/m/mcfartj01.shtml),Strop (https://www.baseball-reference.com/players/s/stroppe01.shtml),2:39,D,"35,548",1.78,-,
104,2018/07/26,boxscore (https://www.baseball-reference.com/boxes/CHN/CHN201807260.shtml),ARI,@,CHC (https://www.baseball-reference.com/teams/CHC/2018.shtml),L-wo,6,7,,56-48,2,1.5,Butler (https://www.baseball-reference.com/players/b/butleed01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),,3:22,D,"38,979",1.74,--,
105,2018/07/27,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807270.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,6,2,,57-48,2,1.5,Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Perdomo (https://www.baseball-reference.com/players/p/perdolu02.shtml),,2:37,N,"34,725",1.63,+,
106,2018/07/28,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807280.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,9,4,,58-48,2,1.5,Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),Maton (https://www.baseball-reference.com/players/m/matonph01.shtml),,3:15,N,"37,149",1.69,++,
107,2018/07/29,boxscore (https://www.baseball-reference.com/boxes/SDN/SDN201807290.shtml),ARI,@,SDP (https://www.baseball-reference.com/teams/SDP/2018.shtml),W,5,4,,59-48,2,0.5,Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Lucchesi (https://www.baseball-reference.com/players/l/lucchjo01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),3:18,D,"32,529",1.74,+++,
108,2018/07/30,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807300.shtml),ARI,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),L,5,9,,59-49,2,0.5,Butler (https://www.baseball-reference.com/players/b/butleed01.shtml),Andriese (https://www.baseball-reference.com/players/a/andrima01.shtml),,3:33,N,"20,639",1.76,-,
109,2018/07/31,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201807310.shtml),ARI,,TEX (https://www.baseball-reference.com/teams/TEX/2018.shtml),W,6,0,,60-49,1,up 0.5,Godley (https://www.baseball-reference.com/players/g/godleza01.shtml),Colón (https://www.baseball-reference.com/players/c/colonba01.shtml),,2:45,N,"21,877",1.78,+,
Gm#,,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
110,2018/08/02,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808020.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,1,8,,60-50,2,1,Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),,3:26,N,"22,980",1.94,-,
111,2018/08/03,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808030.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,6,3,,61-50,1,Tied,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Stratton (https://www.baseball-reference.com/players/s/stratch01.shtml),Boxberger (https://www.baseball-reference.com/players/b/boxbebr01.shtml),2:59,N,"27,581",1.96,+,
112,2018/08/04,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808040.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),W,9,3,,62-50,1,up 1.0,Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Suárez (https://www.baseball-reference.com/players/s/suarean01.shtml),,2:59,N,"38,093",2.03,++,
113,2018/08/05,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808050.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2018.shtml),L,2,3,,62-51,1,Tied,Black (https://www.baseball-reference.com/players/b/blackra01.shtml),Bradley (https://www.baseball-reference.com/players/b/bradlar01.shtml),Smith (https://www.baseball-reference.com/players/s/smithwi04.shtml),3:15,D,"27,884",2.07,-,
114,2018/08/06,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808060.shtml),ARI,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W-wo,3,2,14,63-51,1,up 0.5,Hirano (https://www.baseball-reference.com/players/h/hiranyo01.shtml),Davis (https://www.baseball-reference.com/players/d/davisau01.shtml),,4:38,N,"21,131",1.98,+,
115,2018/08/07,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808070.shtml),ARI,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),L,2,5,,63-52,2,0.5,Pivetta (https://www.baseball-reference.com/players/p/pivetni01.shtml),Greinke (https://www.baseball-reference.com/players/g/greinza01.shtml),Neshek (https://www.baseball-reference.com/players/n/neshepa01.shtml),3:08,N,"22,382",2.03,-,
116,2018/08/08,boxscore (https://www.baseball-reference.com/boxes/ARI/ARI201808080.shtml),ARI,,PHI (https://www.baseball-reference.com/teams/PHI/2018.shtml),W,6,0,,64-52,1,up 0.5,Corbin (https://www.baseball-reference.com/players/c/corbipa01.shtml),Velasquez (https://www.baseball-reference.com/players/v/velasvi01.shtml),,2:58,D,"23,384",2.01,+,
117,2018/08/10,boxscore (https://www.baseball-reference.com/boxes/CIN/CIN201808100.shtml),ARI,@,CIN (https://www.baseball-reference.com/teams/CIN/2018.shtml),L,0,3,,64-53,1,Tied,DeSclafani (https://www.baseball-reference.com/players/d/desclan01.shtml),Buchholz (https://www.baseball-reference.com/players/b/buchhcl01.shtml),Iglesias (https://www.baseball-reference.com/players/i/iglesra01.shtml),2:30,N,"19,089",1.88,-,
