Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
43,"Tuesday, May 18 (https://www.baseball-reference.com/boxes/?date=2021-05-18)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202105180.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2021.shtml),L,1,9,,18-25,4,8.5,Urías (https://www.baseball-reference.com/players/u/uriasju01.shtml),Martin (https://www.baseball-reference.com/players/m/martico02.shtml),,2:50,N,"15,313",0.7,---,
44,"Wednesday, May 19 (https://www.baseball-reference.com/boxes/?date=2021-05-19)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202105190.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2021.shtml),L,2,4,,18-26,4,9.5,Kelly (https://www.baseball-reference.com/players/k/kellyjo05.shtml),Mantiply (https://www.baseball-reference.com/players/m/mantijo01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:56,N,"15,586",0.61,----,
45,"Thursday, May 20 (https://www.baseball-reference.com/boxes/?date=2021-05-20)",boxscore (https://www.baseball-reference.com/boxes/LAN/LAN202105200.shtml),ARI,@,LAD (https://www.baseball-reference.com/teams/LAD/2021.shtml),L,2,3,,18-27,4,10.5,González (https://www.baseball-reference.com/players/g/gonzavi02.shtml),Kelly (https://www.baseball-reference.com/players/k/kellyme01.shtml),Jansen (https://www.baseball-reference.com/players/j/janseke01.shtml),2:54,N,"16,105",0.51,-----,
46,"Friday, May 21 (https://www.baseball-reference.com/boxes/?date=2021-05-21)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202105210.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L,1,7,,18-28,4,10.5,Márquez (https://www.baseball-reference.com/players/m/marquge01.shtml),Frankoff (https://www.baseball-reference.com/players/f/frankse01.shtml),,2:45,N,"18,158",0.39,------,
47,"Saturday, May 22 (https://www.baseball-reference.com/boxes/?date=2021-05-22)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202105220.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L,6,7,,18-29,4,11.5,Kinley (https://www.baseball-reference.com/players/k/kinlety01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Bard (https://www.baseball-reference.com/players/b/bardda01.shtml),3:19,D,"20,183",0.34,-------,
48,"Sunday, May 23 (https://www.baseball-reference.com/boxes/?date=2021-05-23)",boxscore (https://www.baseball-reference.com/boxes/COL/COL202105230.shtml),ARI,@,COL (https://www.baseball-reference.com/teams/COL/2021.shtml),L-wo,3,4,,18-30,5,12.5,Bard (https://www.baseball-reference.com/players/b/bardda01.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),,3:20,D,"19,221",0.3,--------,
49,"Tuesday, May 25 (https://www.baseball-reference.com/boxes/?date=2021-05-25)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105250.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2021.shtml),L,0,8,,18-31,5,13,Gausman (https://www.baseball-reference.com/players/g/gausmke01.shtml),Martin (https://www.baseball-reference.com/players/m/martico02.shtml),,3:16,N,"10,311",0.26,---------,
50,"Wednesday, May 26 (https://www.baseball-reference.com/boxes/?date=2021-05-26)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105260.shtml),ARI,,SFG (https://www.baseball-reference.com/teams/SFG/2021.shtml),L,4,5,,18-32,5,14,Tropeano (https://www.baseball-reference.com/players/t/tropeni01.shtml),Young (https://www.baseball-reference.com/players/y/youngal01.shtml),Rogers (https://www.baseball-reference.com/players/r/rogerty01.shtml),3:03,N,"8,597",0.22,----------,
51,"Thursday, May 27 (https://www.baseball-reference.com/boxes/?date=2021-05-27)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105270.shtml),ARI,,STL (https://www.baseball-reference.com/teams/STL/2021.shtml),L,4,5,10,18-33,5,14,Reyes (https://www.baseball-reference.com/players/r/reyesal02.shtml),Crichton (https://www.baseball-reference.com/players/c/crichst01.shtml),Ponce de Leon (https://www.baseball-reference.com/players/p/ponceda01.shtml),3:28,N,"8,951",0.16,-----------,
52,"Friday, May 28 (https://www.baseball-reference.com/boxes/?date=2021-05-28)",boxscore (https://www.baseball-reference.com/boxes/ARI/ARI202105280.shtml),ARI,,STL (https://www.baseball-reference.com/teams/STL/2021.shtml),L,6,8,,18-34,5,15,Woodford (https://www.baseball-reference.com/players/w/woodfja01.shtml),Bumgarner (https://www.baseball-reference.com/players/b/bumgama01.shtml),Ponce de Leon (https://www.baseball-reference.com/players/p/ponceda01.shtml),3:28,N,"11,581",0.13,------------,
