Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
6,2017/04/09,ATL,PIT,L-wo,5,6,10,1-5,5,2,Vazquez,Ramírez,,3:14,D,"22,713",0.86,----
7,2017/04/11,ATL,MIA,L,4,8,,1-6,5,3.5,Straily,Colón,,2:54,N,"36,519",0.9,-----
8,2017/04/12,ATL,MIA,W,5,4,,2-6,5,3.5,Vizcaíno,Ramos,Johnson,2:51,N,"16,808",0.81,+
9,2017/04/14,ATL,SDP,W,5,2,,3-6,4,3,Teheran,Chacín,Johnson,2:57,N,"41,149",0.8,++
10,2017/04/15,ATL,SDP,W,4,2,,4-6,4,2,Dickey,Richard,Johnson,2:20,N,"41,149",0.82,+++
11,2017/04/16,ATL,SDP,W,9,2,,5-6,4,1.5,Colón,Cahill,,2:46,D,"37,147",0.89,++++
12,2017/04/17,ATL,SDP,W-wo,5,4,,6-6,4,1,Johnson,Maurer,,2:48,N,"24,516",0.93,+++++
13,2017/04/18,ATL,WSN,L,1,3,,6-7,4,2,Scherzer,Foltynewicz,Kelley,3:09,N,"21,834",1.16,-
14,2017/04/19,ATL,WSN,L,4,14,,6-8,4,3,Ross,Teheran,,3:32,N,"22,101",1.09,--
15,2017/04/20,ATL,WSN,L,2,3,,6-9,4,4,Strasburg,Dickey,Kelley,2:41,N,"27,498",1.04,---
16,2017/04/21,ATL,PHI,L,3,4,,6-10,5,5,Hellickson,Colón,Neris,2:38,N,"24,189",0.91,----
17,2017/04/22,ATL,PHI,L-wo,3,4,10,6-11,5,6,Gómez,Johnson,,3:32,N,"31,334",0.86,-----
18,2017/04/23,ATL,PHI,L,2,5,,6-12,5,7,Rodríguez,Vizcaíno,,2:38,D,"28,632",0.79,------
19,2017/04/26,ATL,NYM,W,8,2,,7-12,5,7,Teheran,Gsellman,,3:19,N,"22,819",0.7,+
20,2017/04/27,ATL,NYM,W,7,5,,8-12,4,7,Dickey,Harvey,,2:56,D,"23,243",0.74,++
21,2017/04/28,ATL,MIL,W,10,8,,9-12,4,6,Ramírez,Feliz,Johnson,3:18,N,"26,453",0.75,+++
22,2017/04/29,ATL,MIL,W,11,3,,10-12,3,5,García,Nelson,,3:06,N,"30,026",0.82,++++
23,2017/04/30,ATL,MIL,L,3,4,,10-13,4,6,Garza,Foltynewicz,Feliz,2:35,D,"24,395",0.9,-
Gm#,,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,
24,2017/05/01,ATL,NYM,L,5,7,,10-14,5,6.5,Gsellman,Teheran,Familia,3:00,N,"21,668",0.89,--
25,2017/05/02,ATL,NYM,W,9,7,,11-14,3,5.5,Dickey,Harvey,Johnson,2:55,N,"21,359",0.84,+
26,2017/05/03,ATL,NYM,L,5,16,,11-15,5,6.5,deGrom,Colón,,3:34,N,"22,656",0.92,-
27,2017/05/05,ATL,STL,L,0,10,,11-16,5,8,Lynn,Foltynewicz,,3:13,N,"34,465",0.81,--
28,2017/05/06,ATL,STL,L,3,5,,11-17,5,9,Leake,Teheran,Oh,2:59,N,"40,706",0.71,---
29,2017/05/07,ATL,STL,L,4,6,14,11-18,5,9,Tuivailala,Collmenter,Siegrist,4:06,D,"40,200",0.64,----
30,2017/05/09,ATL,HOU,L,3,8,,11-19,5,8.5,Morton,Colón,,2:41,N,"28,724",0.6,-----
31,2017/05/10,ATL,HOU,L,2,4,,11-20,5,9.5,Musgrove,García,Giles,2:49,D,"23,676",0.57,------
32,2017/05/12,ATL,MIA,W,8,4,,12-20,4,9,Foltynewicz,Ureña,,3:11,N,"20,052",0.57,+
33,2017/05/13,ATL,MIA,W,3,1,,13-20,3,9,Teheran,Vólquez,Johnson,2:49,N,"26,692",0.65,++
34,2017/05/14,ATL,MIA,L,1,3,,13-21,4,9.5,Barraclough,Dickey,Ramos,2:27,D,"17,277",0.67,-
35,2017/05/15,ATL,TOR,W,10,6,,14-21,3,9,Colón,Bolsinger,,3:15,N,"29,766",0.6,+
36,2017/05/16,ATL,TOR,W,9,5,,15-21,2,9,Ramírez,Barnes,,3:07,D,"34,431",0.64,++
37,2017/05/17,ATL,TOR,W,8,4,,16-21,2,8,Foltynewicz,Biagini,,2:59,N,"28,293",0.67,+++
38,2017/05/18,ATL,TOR,L,0,9,,16-22,2,8,Stroman,Teheran,,3:02,N,"25,419",0.78,-
39,2017/05/19,ATL,WSN,W,7,4,,17-22,2,7,Vizcaíno,Romero,Johnson,3:32,N,"35,369",1.03,+
40,2017/05/20,ATL,WSN,W,5,2,,18-22,2,6,Krol,Scherzer,Johnson,3:20,D,"37,347",1.09,++
41,2017/05/21,ATL,WSN,L,2,3,,18-23,2,7,Strasburg,García,Glover,2:50,D,"32,895",1.17,-
42,2017/05/22,ATL,PIT,W,5,2,,19-23,2,6.5,Foltynewicz,Cole,Johnson,3:23,N,"21,896",0.82,+
43,2017/05/23,ATL,PIT,W-wo,6,5,,20-23,2,6.5,Jackson,Watson,,3:03,N,"25,040",0.86,++
44,2017/05/24,ATL,PIT,L,5,12,10,20-24,2,7.5,Vazquez,Collmenter,,4:02,N,"25,981",0.9,-
